origin,destination,hour,minute,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Swargate,Hinjewadi,18,40,3,2,3555,19556,0,19.80354430379747,0.0,0
Swargate,Hinjewadi,19,40,3,0,2957,19447,0,23.675752451809267,0.0,1
Swargate,Hinjewadi,19,40,3,1,3138,23562,0,27.03097514340344,0.0,0
Swargate,Hinjewadi,19,40,3,2,3083,19532,0,22.80739539409666,0.0,0
Swargate,Hinjewadi,20,40,3,0,2586,19447,0,27.07238979118329,0.0,1
Swargate,Hinjewadi,20,40,3,1,2776,23562,0,30.55590778097983,0.0,0
Swargate,Hinjewadi,20,40,3,2,2740,19532,0,25.662481751824817,0.0,0
Swargate,Hinjewadi,21,40,3,0,2202,19447,0,31.79346049046321,0.0,1
Swargate,Hinjewadi,21,40,3,1,2319,23562,0,36.57749029754205,0.0,0
Swargate,Hinjewadi,21,40,3,2,2490,19870,0,28.727710843373497,0.0,0
Swargate,Hinjewadi,22,40,3,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,22,40,3,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,22,40,3,2,2400,19870,0,29.805000000000003,0.0,0
Swargate,Hinjewadi,23,40,3,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,40,3,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,40,3,2,2400,19870,0,29.805000000000003,0.0,0
Swargate,Hinjewadi,6,40,4,0,2174,19447,0,32.20294388224471,0.0,1
Swargate,Hinjewadi,6,40,4,1,2273,23562,0,37.31772987241531,0.0,0
Swargate,Hinjewadi,6,40,4,2,2467,19870,0,28.99554114308877,0.0,0
Swargate,Hinjewadi,7,40,4,0,2247,19447,0,31.15674232309746,0.0,1
Swargate,Hinjewadi,7,40,4,1,2374,23562,0,35.73007582139848,0.0,0
Swargate,Hinjewadi,7,40,4,2,2423,19532,0,29.01989269500619,0.0,0
Swargate,Hinjewadi,8,40,4,0,2323,19447,0,30.137408523461044,0.0,1
Swargate,Hinjewadi,8,40,4,1,2517,23562,0,33.70011918951132,0.0,0
Swargate,Hinjewadi,8,40,4,2,2509,19532,0,28.025189318453567,0.0,0
Swargate,Hinjewadi,9,40,4,0,2385,19447,0,29.353962264150944,0.0,1
Swargate,Hinjewadi,9,40,4,1,2601,23562,0,32.61176470588235,0.0,0
Swargate,Hinjewadi,9,40,4,2,2544,19532,0,27.639622641509437,0.0,0
Swargate,Hinjewadi,10,40,4,0,2490,19447,0,28.116144578313254,0.0,1
Swargate,Hinjewadi,10,40,4,1,2712,23630,0,31.367256637168143,0.0,0
Swargate,Hinjewadi,10,40,4,2,2873,19917,0,24.956909154194225,0.0,0
Swargate,Hinjewadi,11,40,4,0,2619,19447,0,26.731271477663228,0.0,1
Swargate,Hinjewadi,11,40,4,1,2828,23630,0,30.08062234794908,0.0,0
Swargate,Hinjewadi,11,40,4,2,3007,19917,0,23.844762221483208,0.0,0
Swargate,Hinjewadi,12,40,4,0,2674,19447,0,26.18145100972326,0.0,1
Swargate,Hinjewadi,12,40,4,1,2862,23630,0,29.723270440251568,0.0,0
Swargate,Hinjewadi,12,40,4,2,3058,19917,0,23.44708960104644,0.0,0
Swargate,Hinjewadi,13,40,4,0,2707,19447,0,25.862282970077576,0.0,1
Swargate,Hinjewadi,13,40,4,1,2852,23630,0,29.827489481065918,0.0,0
Swargate,Hinjewadi,13,40,4,2,3068,19917,0,23.370664928292047,0.0,0
Swargate,Hinjewadi,14,40,4,0,2802,19447,0,24.98543897216274,0.0,1
Swargate,Hinjewadi,14,40,4,1,2830,23630,0,30.05936395759717,0.0,0
Swargate,Hinjewadi,14,40,4,2,3084,20023,0,23.373151750972763,0.0,0
Swargate,Hinjewadi,15,40,4,0,2856,23766,0,29.957142857142856,0.0,1
Swargate,Hinjewadi,15,40,4,1,2929,19447,0,23.90208262205531,0.0,0
Swargate,Hinjewadi,15,40,4,2,3141,20383,0,23.361604584527218,0.0,0
Swargate,Hinjewadi,16,40,4,0,2957,23630,0,28.76834629692256,0.0,1
Swargate,Hinjewadi,16,40,4,1,3020,19608,0,23.37377483443709,0.0,0
Swargate,Hinjewadi,16,40,4,2,3238,20365,0,22.64175416924027,0.0,0
Swargate,Hinjewadi,17,40,4,0,3081,19447,0,22.722882181110027,0.0,0
Swargate,Hinjewadi,17,40,4,1,3058,23630,0,27.818181818181817,0.0,1
Swargate,Hinjewadi,17,40,4,2,3340,20365,0,21.9502994011976,0.0,0
Swargate,Hinjewadi,18,40,4,0,2963,19447,0,23.627809652379344,0.0,1
Swargate,Hinjewadi,18,40,4,1,3066,23630,0,27.745596868884537,0.0,0
Swargate,Hinjewadi,18,40,4,2,3334,20193,0,21.804079184163168,0.0,0
Swargate,Hinjewadi,19,40,4,0,2708,19447,0,25.852732644017724,0.0,1
Swargate,Hinjewadi,19,40,4,1,2933,23630,0,29.00375042618479,0.0,0
Swargate,Hinjewadi,19,40,4,2,3139,20193,0,23.15858553679516,0.0,0
Swargate,Hinjewadi,20,40,4,0,2462,19447,0,28.43590576766856,0.0,1
Swargate,Hinjewadi,20,40,4,1,2670,23562,0,31.768988764044945,0.0,0
Swargate,Hinjewadi,20,40,4,2,2635,19532,0,26.68508538899431,0.0,0
Swargate,Hinjewadi,21,40,4,0,2188,19447,0,31.99689213893967,0.0,1
Swargate,Hinjewadi,21,40,4,1,2301,23562,0,36.86362451108214,0.0,0
Swargate,Hinjewadi,21,40,4,2,2477,19870,0,28.878482034719426,0.0,0
Swargate,Hinjewadi,22,40,4,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,22,40,4,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,22,40,4,2,2400,19870,0,29.805000000000003,0.0,0
Swargate,Hinjewadi,23,40,4,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,23,40,4,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,23,40,4,2,2400,19870,0,29.805000000000003,0.0,0
Swargate,Hinjewadi,6,40,5,0,2225,19469,0,31.500404494382025,0.0,1
Swargate,Hinjewadi,6,40,5,1,2320,23562,0,36.56172413793104,0.0,0
Swargate,Hinjewadi,6,40,5,2,2540,19870,0,28.16220472440945,0.0,0
Swargate,Hinjewadi,7,40,5,0,2475,19447,0,28.28654545454545,0.0,1
Swargate,Hinjewadi,7,40,5,1,2603,23562,0,32.58670764502497,0.0,0
Swargate,Hinjewadi,7,40,5,2,2645,19532,0,26.584196597353497,0.0,0
Swargate,Hinjewadi,8,40,5,0,2697,19447,0,25.95817575083426,0.0,1
Swargate,Hinjewadi,8,40,5,1,2921,23562,0,29.03909619993153,0.0,0
Swargate,Hinjewadi,8,40,5,2,2891,19532,0,24.322103078519543,0.0,0
Swargate,Hinjewadi,9,40,5,0,2792,19469,0,25.10329512893983,0.0,1
Swargate,Hinjewadi,9,40,5,1,3040,23766,0,28.14394736842105,0.0,0
Swargate,Hinjewadi,9,40,5,2,3009,19555,0,23.39581256231306,0.0,0
Swargate,Hinjewadi,10,40,5,0,2904,19469,0,24.13512396694215,0.0,1
Swargate,Hinjewadi,10,40,5,1,3168,23766,0,27.00681818181818,0.0,0
Swargate,Hinjewadi,10,40,5,2,3144,19555,0,22.3912213740458,0.0,0
Swargate,Hinjewadi,11,40,5,0,2967,19469,0,23.62264914054601,0.0,1
Swargate,Hinjewadi,11,40,5,1,3224,23766,0,26.537717121588088,0.0,0
Swargate,Hinjewadi,11,40,5,2,3204,19555,0,21.97191011235955,0.0,0
Swargate,Hinjewadi,12,40,5,0,2914,19469,0,24.052299245024024,0.0,1
Swargate,Hinjewadi,12,40,5,1,3164,23766,0,27.0409608091024,0.0,0
Swargate,Hinjewadi,12,40,5,2,3127,19555,0,22.51295171090502,0.0,0
Swargate,Hinjewadi,13,40,5,0,2801,19469,0,25.022634773295252,0.0,1
Swargate,Hinjewadi,13,40,5,1,2970,23766,0,28.807272727272725,0.0,0
Swargate,Hinjewadi,13,40,5,2,2967,19555,0,23.72699696663296,0.0,0
Swargate,Hinjewadi,14,40,5,0,2816,19469,0,24.88934659090909,0.0,1
Swargate,Hinjewadi,14,40,5,1,2856,23766,0,29.957142857142856,0.0,0
Swargate,Hinjewadi,14,40,5,2,2954,19555,0,23.831415030467163,0.0,0
Swargate,Hinjewadi,15,40,5,0,2926,19469,0,23.953656869446345,0.0,0
Swargate,Hinjewadi,15,40,5,1,2901,23766,0,29.49245087900724,0.0,1
Swargate,Hinjewadi,15,40,5,2,3048,19555,0,23.096456692913385,0.0,0
Swargate,Hinjewadi,16,40,5,0,3115,23766,0,27.46632423756019,0.0,1
Swargate,Hinjewadi,16,40,5,1,3169,19469,0,22.11688229725465,0.0,0
Swargate,Hinjewadi,16,40,5,2,3267,19555,0,21.548209366391184,0.0,0
Swargate,Hinjewadi,17,40,5,0,3319,23578,0,25.574209099126243,0.0,1
Swargate,Hinjewadi,17,40,5,1,3454,19447,0,20.26902142443544,0.0,0
Swargate,Hinjewadi,17,40,5,2,3479,19532,0,20.21132509341765,0.0,0
Swargate,Hinjewadi,18,40,5,0,3370,23630,0,25.24272997032641,0.0,1
Swargate,Hinjewadi,18,40,5,1,3443,19447,0,20.333778681382515,0.0,0
Swargate,Hinjewadi,18,40,5,2,3463,19532,0,20.304706901530466,0.0,0
Swargate,Hinjewadi,19,40,5,0,3013,19447,0,23.235711915034848,0.0,1
Swargate,Hinjewadi,19,40,5,1,3147,23630,0,27.031458531935176,0.0,0
Swargate,Hinjewadi,19,40,5,2,3127,19532,0,22.4864726574992,0.0,0
Swargate,Hinjewadi,20,40,5,0,2564,19447,0,27.304680187207488,0.0,1
Swargate,Hinjewadi,20,40,5,1,2741,23562,0,30.94607807369573,0.0,0
Swargate,Hinjewadi,20,40,5,2,2717,19532,0,25.87972027972028,0.0,0
Swargate,Hinjewadi,21,40,5,0,2196,19447,0,31.880327868852454,0.0,1
Swargate,Hinjewadi,21,40,5,1,2310,23562,0,36.72,0.0,0
Swargate,Hinjewadi,21,40,5,2,2484,19870,0,28.797101449275367,0.0,0
Swargate,Hinjewadi,22,40,5,0,2123,19469,0,33.01384832783796,0.0,1
Swargate,Hinjewadi,22,40,5,1,2217,23562,0,38.26035182679296,0.0,0
Swargate,Hinjewadi,22,40,5,2,2401,19870,0,29.79258642232403,0.0,0
