origin,destination,hour,minute,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Hadapsar,Swargate,20,30,2,1,2009,12146,0,21.764858138377306,0.0,0
Hadapsar,Swargate,20,30,2,2,1502,9613,0,23.040479360852196,0.0,0
Hadapsar,Swargate,21,30,2,0,1099,8486,0,27.79763421292084,0.0,1
Hadapsar,Swargate,21,30,2,1,1744,12131,0,25.04105504587156,0.0,0
Hadapsar,Swargate,21,30,2,2,1771,11129,0,22.622473178994916,0.0,0
Hadapsar,Swargate,22,30,2,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,22,30,2,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,22,30,2,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,23,30,2,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,23,30,2,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,23,30,2,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,6,30,3,0,1067,8486,0,28.63130271790066,0.0,1
Hadapsar,Swargate,6,30,3,1,1739,12131,0,25.113053479010926,0.0,0
Hadapsar,Swargate,6,30,3,2,1754,11129,0,22.841733181299887,0.0,0
Hadapsar,Swargate,7,30,3,0,1137,8486,0,26.868601583113456,0.0,1
Hadapsar,Swargate,7,30,3,1,1326,9613,0,26.09864253393665,0.0,0
Hadapsar,Swargate,7,30,3,2,1824,12131,0,23.942763157894735,0.0,0
Hadapsar,Swargate,8,30,3,0,1237,8486,0,24.696523848019407,0.0,1
Hadapsar,Swargate,8,30,3,1,1567,10290,0,23.64007657945118,0.0,0
Hadapsar,Swargate,8,30,3,2,1915,12146,0,22.833211488250654,0.0,0
Hadapsar,Swargate,9,30,3,0,1318,8486,0,23.178755690440063,0.0,1
Hadapsar,Swargate,9,30,3,1,1938,11626,0,21.596284829721363,0.0,0
Hadapsar,Swargate,9,30,3,2,1484,9613,0,23.319946091644205,0.0,0
Hadapsar,Swargate,10,30,3,0,1416,8486,0,21.574576271186444,0.0,1
Hadapsar,Swargate,10,30,3,1,2022,11626,0,20.699109792284865,0.0,0
Hadapsar,Swargate,10,30,3,2,1573,9613,0,22.000508582326763,0.0,0
Hadapsar,Swargate,11,30,3,0,1512,8486,0,20.204761904761906,0.0,1
Hadapsar,Swargate,11,30,3,1,2098,11764,0,20.1860819828408,0.0,0
Hadapsar,Swargate,11,30,3,2,1658,9613,0,20.872617611580218,0.0,0
Hadapsar,Swargate,12,30,3,0,1533,8486,0,19.9279843444227,0.0,1
Hadapsar,Swargate,12,30,3,1,2116,11764,0,20.01436672967864,0.0,0
Hadapsar,Swargate,12,30,3,2,1679,9613,0,20.61155449672424,0.0,0
Hadapsar,Swargate,13,30,3,0,1529,8486,0,19.980117724002618,0.0,1
Hadapsar,Swargate,13,30,3,1,2115,11764,0,20.02382978723404,0.0,0
Hadapsar,Swargate,13,30,3,2,1677,9613,0,20.636135957066188,0.0,0
Hadapsar,Swargate,14,30,3,0,1555,8486,0,19.64604501607717,0.0,1
Hadapsar,Swargate,14,30,3,1,2118,11764,0,19.995467422096315,0.0,0
Hadapsar,Swargate,14,30,3,2,1941,10494,0,19.463369397217928,0.0,0
Hadapsar,Swargate,15,30,3,0,1584,8486,0,19.28636363636364,0.0,1
Hadapsar,Swargate,15,30,3,1,2128,11764,0,19.901503759398494,0.0,0
Hadapsar,Swargate,15,30,3,2,2020,11064,0,19.718019801980198,0.0,0
Hadapsar,Swargate,16,30,3,0,1621,8486,0,18.846144355336214,0.0,1
Hadapsar,Swargate,16,30,3,1,2158,11764,0,19.624837812789618,0.0,0
Hadapsar,Swargate,16,30,3,2,2056,11064,0,19.372762645914396,0.0,0
Hadapsar,Swargate,17,30,3,0,1644,8486,0,18.58248175182482,0.0,1
Hadapsar,Swargate,17,30,3,1,2179,11764,0,19.435704451583295,0.0,0
Hadapsar,Swargate,17,30,3,2,1925,10290,0,19.243636363636362,0.0,0
Hadapsar,Swargate,18,30,3,0,1586,8486,0,19.262042875157633,0.0,1
Hadapsar,Swargate,18,30,3,1,2161,11764,0,19.597593706617307,0.0,0
Hadapsar,Swargate,18,30,3,2,1879,10290,0,19.71474188398084,0.0,0
Hadapsar,Swargate,19,30,3,0,1445,8486,0,21.14159169550173,0.0,1
Hadapsar,Swargate,19,30,3,1,2082,11626,0,20.10259365994236,0.0,0
Hadapsar,Swargate,19,30,3,2,1607,9613,0,21.535034225264468,0.0,0
Hadapsar,Swargate,20,30,3,0,1284,8486,0,23.79252336448598,0.0,1
Hadapsar,Swargate,20,30,3,1,1463,9613,0,23.654682159945317,0.0,0
Hadapsar,Swargate,20,30,3,2,1997,12146,0,21.895643465197796,0.0,0
Hadapsar,Swargate,21,30,3,0,1095,8486,0,27.899178082191785,0.0,1
Hadapsar,Swargate,21,30,3,1,1745,12131,0,25.026704871060172,0.0,0
Hadapsar,Swargate,21,30,3,2,1763,11129,0,22.725127623369257,0.0,0
Hadapsar,Swargate,22,30,3,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,22,30,3,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,22,30,3,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,23,30,3,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,23,30,3,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,23,30,3,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,6,30,4,0,1055,8486,0,28.95696682464455,0.0,1
Hadapsar,Swargate,6,30,4,1,1727,12131,0,25.287550665894617,0.0,0
Hadapsar,Swargate,6,30,4,2,1744,11129,0,22.972706422018348,0.0,0
Hadapsar,Swargate,7,30,4,0,1090,8486,0,28.027155963302757,0.0,1
Hadapsar,Swargate,7,30,4,1,1780,12131,0,24.534606741573032,0.0,0
Hadapsar,Swargate,7,30,4,2,1767,11129,0,22.673684210526314,0.0,0
Hadapsar,Swargate,8,30,4,0,1138,8486,0,26.84499121265378,0.0,1
Hadapsar,Swargate,8,30,4,1,1329,9613,0,26.039729119638828,0.0,0
Hadapsar,Swargate,8,30,4,2,1828,12146,0,23.919912472647706,0.0,0
Hadapsar,Swargate,9,30,4,0,1174,8486,0,26.021805792163544,0.0,1
Hadapsar,Swargate,9,30,4,1,1359,9613,0,25.464900662251654,0.0,0
Hadapsar,Swargate,9,30,4,2,1861,12146,0,23.495754970446,0.0,0
Hadapsar,Swargate,10,30,4,0,1220,8486,0,25.04065573770492,0.0,1
Hadapsar,Swargate,10,30,4,1,1842,11626,0,22.721824104234525,0.0,0
Hadapsar,Swargate,10,30,4,2,1399,9613,0,24.73681200857755,0.0,0
Hadapsar,Swargate,11,30,4,0,1275,8486,0,23.960470588235296,0.0,1
Hadapsar,Swargate,11,30,4,1,1899,11626,0,22.039810426540285,0.0,0
Hadapsar,Swargate,11,30,4,2,1446,9613,0,23.932780082987552,0.0,0
Hadapsar,Swargate,12,30,4,0,1295,8486,0,23.590424710424713,0.0,1
Hadapsar,Swargate,12,30,4,1,1924,11626,0,21.75343035343035,0.0,0
Hadapsar,Swargate,12,30,4,2,1463,9613,0,23.654682159945317,0.0,0
Hadapsar,Swargate,13,30,4,0,1298,8486,0,23.535901386748844,0.0,1
Hadapsar,Swargate,13,30,4,1,1937,11626,0,21.607434176561693,0.0,0
Hadapsar,Swargate,13,30,4,2,1467,9613,0,23.590184049079756,0.0,0
Hadapsar,Swargate,14,30,4,0,1317,8486,0,23.196355353075173,0.0,1
Hadapsar,Swargate,14,30,4,1,1958,11807,0,21.70847803881512,0.0,0
Hadapsar,Swargate,14,30,4,2,1484,9613,0,23.319946091644205,0.0,0
Hadapsar,Swargate,15,30,4,0,1343,8486,0,22.747282204020852,0.0,1
Hadapsar,Swargate,15,30,4,1,1978,11764,0,21.41071789686552,0.0,0
Hadapsar,Swargate,15,30,4,2,1508,9613,0,22.948806366047744,0.0,0
